"country_code","year","gdp_nominal","gdp_per_capita_nominal","gdp_ppp","gdp_per_capita_ppp","gdp_ppp_share","gdp_growth"
"NGA",2019,474.498,2361.108,1123.348,5589.795,0.806,2.2
"NGA",2020,432.716,2099.135,1145.673,5557.74,0.824,-1.8
"PHL",2019,376.823,3512.195,988.832,9216.444,0.709,6.1
"PHL",2020,361.751,3312.739,923.367,8455.74,0.664,-9.5
"CHE",2019,721.89,84481.041,632.69,74042.073,0.454,1.2
"CHE",2020,741.311,86138.871,630.065,73212.322,0.453,-2.3
"IDN",2019,1119.1,4192.768,3266.186,12236.943,2.342,5
"IDN",2020,1059.055,3919.465,3223.405,11929.526,2.317,-2.1
"VNM",2019,331.818,3439.102,1071.756,11108.123,0.769,7.4
"VNM",2020,346.31,3548.892,1138.632,11668.385,0.818,2.9
"KEN",2019,100.328,2107.735,240.007,5042.165,0.172,5.1
"KEN",2020,100.912,2067.987,250.232,5127.992,0.18,-0.3
"ECU",2019,107.596,6199.031,217.496,12530.832,0.156,0.2
"ECU",2020,95.865,5469.758,202.25,11539.698,0.145,-9.2
"USA",2019,21539.975,65561.32,21539.975,65561.32,15.448,2.6
"USA",2020,21354.125,64461.618,21354.125,64461.618,15.349,-2.2
"BFA",2019,16.031,765.132,46.783,2232.881,0.034,5.5
"BFA",2020,17.754,824.248,51.145,2374.434,0.037,1.9
"IND",2019,2835.606,2050.163,9932.849,7181.522,7.124,3.9
"IND",2020,2674.852,1915.552,9771.023,6997.36,7.023,-5.8
"CMR",2019,39.673,1533.161,108.174,4180.421,0.078,3.4
"CMR",2020,40.863,1539.354,114.508,4313.605,0.082,0.5
"MYS",2019,365.178,11228.293,967.568,29750.268,0.694,4.4
"MYS",2020,337.456,10400.219,931.106,28696.214,0.669,-5.5
"UKR",2019,154.14,3693.498,604.396,14482.52,0.433,3.2
"UKR",2020,156.579,3780.393,656.106,15840.806,0.472,-3.8
"TGO",2019,6.993,848.341,18.743,2273.8,0.013,4.9
"TGO",2020,7.4,876.511,20.402,2416.58,0.015,2
"BRA",2019,1873.286,9010.512,3333.776,16035.469,2.391,1.2
"BRA",2020,1476.092,7057.072,3359.777,16062.817,2.415,-3.3
"PRT",2019,240.013,23333.408,389.286,37845.218,0.279,2.7
"PRT",2020,228.849,22224.61,369.406,35874.813,0.266,-8.3
"MNE",2019,5.543,NA,15.016,NA,0.011,4.1
